"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-17","0.89",",,W"," 2303",",,X"," 1326",",,W","0.31",",,0,2400",,,,,,,"66",",,0","54",",,0","  100",",,X","  270",",,X","6.9",",,X","12.1",",,X","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-18","4.70",",,W"," 1222",",,X"," 1222",",,W","1.12",",,0,2400",,,,,,,"62",",,0","56",",,0","  140",",,X","  150",",,X","16.1",",,X","29.1",",,X","    1",",,W",,,"    1",",,0",,,"    1",",,W",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-19","4.25",",,W"," 1253",",,X"," 1052",",,W","0.61",",,0,2400",,,,,,,"58",",,0","50",",,0","  100",",,X","  100",",,X","15.0",",,X","23.0",",,X","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-20","4.92",",,W"," 1555",",,X"," 1231",",,W","1.20",",,0,2400",,,,,,,"59",",,0","51",",,0","  100",",,X","  150",",,X","12.1",",,X","23.9",",,X","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-21","5.37",",,W"," 0922",",,X"," 2038",",,W","0.97",",,0,2400",,,,,,,"58",",,0","50",",,0","   90",",,X","  260",",,X","16.1",",,X","33.1",",,X","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-22","1.12",",,W"," 1258",",,X"," 0057",",,W","0.37",",,0,2400",,,,,,,"53",",,0","46",",,0","   30",",,X","  280",",,X","6.9",",,X","14.1",",,X","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-23","0.89",",,W"," 1542",",,X"," 1620",",,W","0.00",",,0,2400",,,,,,,"60",",,0","42",",,0","  270",",,X","  280",",,X","6.9",",,X","12.1",",,X","    1",",,W",,,,,,,,,,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-24","0.89",",,W"," 1421",",,X"," 1442",",,W","0.00",",,0,2400",,,,,,,"64",",,0","43",",,0","  260",",,X","  270",",,X","8.1",",,X","12.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-25","1.34",",,W"," 1806",",,X"," 1757",",,W","0.00",",,0,2400",,,,,,,"67",",,0","46",",,0","  280",",,X","  270",",,X","8.1",",,X","16.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-26","2.01",",,W"," 1519",",,X"," 1518",",,W","0.20",",,0,2400",,,,,,,"61",",,0","47",",,0","   80",",,X","   80",",,X","8.9",",,X","15.0",",,X",,,,,"    1",",,0",,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-27","0.89",",,W"," 1437",",,X"," 1452",",,W","0.00",",,0,2400",,,,,,,"69",",,0","54",",,0","  270",",,X","  280",",,X","8.1",",,X","13.0",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-28","0.45",",,W"," 1436",",,X"," 1436",",,W","0.00",",,0,2400",,,,,,,"71",",,0","50",",,0","  280",",,X","  270",",,X","6.9",",,X","12.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-29","0.45",",,W"," 1616",",,X"," 1654",",,W","0.00",",,0,2400",,,,,,,"68",",,0","50",",,0","  270",",,X","  270",",,X","8.1",",,X","13.0",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-30","0.89",",,W"," 1601",",,X"," 1601",",,W","0.00",",,0,2400",,,,,,,"64",",,0","48",",,0","  270",",,X","  270",",,X","8.1",",,X","13.0",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-31","0.45",",,W"," 1521",",,X"," 1435",",,W","0.00",",,0,2400",,,,,,,"66",",,0","47",",,0","  280",",,X","  270",",,X","6.9",",,X","12.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-01","0.67",",,W"," 1502",",,X"," 1509",",,W","0.00",",,0,2400",,,,,,,"68",",,0","50",",,0","  270",",,X","  260",",,X","6.9",",,X","10.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-02","1.12",",,W"," 1309",",,X"," 1300",",,W","0.00",",,0,2400",,,,,,,"66",",,0","54",",,0","  270",",,X","  260",",,X","6.9",",,X","14.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-03","0.89",",,W"," 2317",",,X"," 1457",",,W","0.00",",,0,2400",,,,,,,"70",",,0","49",",,0","  100",",,X","  240",",,X","6.9",",,X","14.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-04","3.13",",,W"," 1125",",,X"," 1642",",,W","0.00",",,0,2400",,,,,,,"65",",,0","55",",,0","  120",",,X","  280",",,X","8.1",",,X","14.1",",,X",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-05","6.71",",,W"," 1859",",,X"," 1901",",,W","0.94",",,0,2400",,,,,,,"58",",,0","54",",,0","  100",",,X","  110",",,X","13.0",",,X","19.9",",,X","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-06","2.24",",,W"," 1343",",,X"," 0454",",,W","1.91",",,0,2400",,,,,,,"63",",,0","51",",,0","  270",",,X","  180",",,X","8.9",",,X","21.0",",,X","    1",",,X","    1",",,W","    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-07","0.89",",,W"," 1627",",,X"," 1654",",,W","0.00",",,0,2400",,,,,,,"64",",,0","45",",,0","  270",",,X","  250",",,X","8.1",",,X","13.0",",,X","    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-08","0.89",",,W"," 1530",",,X"," 1542",",,W","0.00",",,0,2400",,,,,,,"64",",,0","49",",,0","  260",",,X","  280",",,X","6.9",",,X","12.1",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-09","1.57",",,W"," 1357",",,X"," 1356",",,W","0.44",",,0,2400",,,,,,,"59",",,0","45",",,0","  250",",,X","  270",",,X","10.1",",,X","21.9",",,X","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-10","0.89",",,W"," 1032",",,X"," 1459",",,W","0.00",",,0,2400",,,,,,,"65",",,0","40",",,0","  100",",,X","  220",",,X","6.9",",,X","10.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-11","1.12",",,W"," 1544",",,X"," 1543",",,W","0.00",",,0,2400",,,,,,,"65",",,0","50",",,0","  270",",,X","  270",",,X","8.9",",,X","13.0",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-12","0.67",",,W"," 1433",",,X"," 1534",",,W","0.00",",,0,2400",,,,,,,"67",",,0","50",",,0","  270",",,X","  260",",,X","8.1",",,X","12.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-13","0.22",",,W"," 1522",",,X"," 1522",",,W","0.00",",,0,2400",,,,,,,"75",",,0","49",",,0","  270",",,X","  270",",,X","8.1",",,X","12.1",",,X","    1",",,W",,,,,,,"    1",",,W",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-14","1.12",",,W"," 1423",",,X"," 1421",",,W","0.00",",,0,2400",,,,,,,"81",",,0","52",",,0","  260",",,X","  270",",,X","8.1",",,X","12.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-15","0.45",",,W"," 1622",",,X"," 1404",",,W","0.00",",,0,2400",,,,,,,"82",",,0","57",",,0","  270",",,X","  280",",,X","6.0",",,X","10.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-16","1.34",",,W"," 1504",",,X"," 1504",",,W","0.00",",,0,2400",,,,,,,"84",",,0","57",",,0","  280",",,X","  270",",,X","6.9",",,X","12.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-17","1.12",",,W"," 1401",",,X"," 1357",",,W","0.00",",,0,2400",,,,,,,"80",",,0","55",",,0","  270",",,X","  280",",,X","8.1",",,X","13.0",",,X",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-18","0.89",",,W"," 1350",",,X"," 1655",",,W","0.00",",,0,2400",,,,,,,"69",",,0","56",",,0","  260",",,X","  280",",,X","6.9",",,X","10.1",",,X","    1",",,W","    1",",,X",,,"    1",",,0","    1",",,X","    1",",,0","    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-19","1.79",",,W"," 1217",",,X"," 1208",",,W","0.09",",,0,2400",,,,,,,"64",",,0","54",",,0","  120",",,X","  120",",,X","8.9",",,X","14.1",",,X",,,,,"    1",",,0","    1",",,0","    1",",,X",,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-20","1.34",",,W"," 1213",",,X"," 1353",",,W","0.05",",,0,2400",,,,,,,"64",",,0","52",",,0","  270",",,X","  270",",,X","8.9",",,X","15.0",",,X",,,,,,,,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-21","2.91",",,W"," 1806",",,X"," 1805",",,W","0.03",",,0,2400",,,,,,,"65",",,0","54",",,0","  270",",,X","  270",",,X","13.0",",,X","21.0",",,X","    1",",,W",,,,,,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-22","2.24",",,W"," 1633",",,X"," 1632",",,W","0.00","T,,0,2400",,,,,,,"70",",,0","52",",,0","   10",",,X","   10",",,X","12.1",",,X","17.9",",,X","    1",",,W",,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-23","1.34",",,W"," 1355",",,X"," 1401",",,W","0.00",",,0,2400",,,,,,,"69",",,0","47",",,0","  270",",,X","  270",",,X","8.9",",,X","13.0",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-24","1.12",",,W"," 2003",",,X"," 1959",",,W","0.01",",,0,2400",,,,,,,"66",",,0","53",",,0","   70",",,X","  100",",,X","6.9",",,X","12.1",",,X","    1",",,W",,,"    1",",,0","    1",",,0","    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-25","1.12",",,W"," 1640",",,X"," 1457",",,W","0.00",",,0,2400",,,,,,,"70",",,0","53",",,0","  270",",,X","  280",",,X","8.1",",,X","14.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-26","1.79",",,W"," 1510",",,X"," 2221",",,W","0.00",",,0,2400",,,,,,,"75",",,0","56",",,0","  270",",,X","  130",",,X","8.9",",,X","14.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-27","2.91",",,W"," 1552",",,X"," 0524",",,W","0.80",",,0,2400",,,,,,,"63",",,0","52",",,0","  270",",,X","  130",",,X","12.1",",,X","21.9",",,X","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-02-28","1.34",",,W"," 1555",",,X"," 1616",",,W","0.00",",,0,2400",,,,,,,"68",",,0","47",",,0","  270",",,X","  270",",,X","8.1",",,X","12.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-01","1.12",",,W"," 1415",",,X"," 1423",",,W","0.00",",,0,2400",,,,,,,"71",",,0","52",",,0","  270",",,X","  270",",,X","12.1",",,X","16.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-02","1.12",",,W"," 1434",",,X"," 1614",",,W","0.00",",,0,2400",,,,,,,"67",",,0","56",",,0","  270",",,X","  270",",,X","8.9",",,X","14.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-03","2.01",",,W"," 1659",",,X"," 1520",",,W","0.06",",,0,2400",,,,,,,"66",",,0","54",",,0","  270",",,X","  280",",,X","10.1",",,X","19.9",",,X","    1",",,W",,,"    1",",,0",,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-04","1.34",",,W"," 1534",",,X"," 1523",",,W","0.00","T,,0,2400",,,,,,,"64",",,0","49",",,0","  270",",,X","  270",",,X","8.1",",,X","15.0",",,X",,,,,"    1",",,0",,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-05","1.79",",,W"," 1508",",,X"," 1507",",,W","0.00",",,0,2400",,,,,,,"68",",,0","49",",,0","  270",",,X","  270",",,X","8.9",",,X","16.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-06","2.01",",,W"," 1452",",,X"," 1451",",,W","0.42",",,0,2400",,,,,,,"62",",,0","52",",,0","  130",",,X","  130",",,X","10.1",",,X","17.0",",,X","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-07","1.12",",,W"," 1226",",,X"," 1225",",,W","0.00","T,,0,2400",,,,,,,"66",",,0","50",",,0","  260",",,X","  270",",,X","8.1",",,X","14.1",",,X",,,,,"    1",",,0",,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-08","2.01",",,W"," 1611",",,X"," 1548",",,W","0.00",",,0,2400",,,,,,,"66",",,0","54",",,0","  260",",,X","  270",",,X","8.1",",,X","15.0",",,X",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-09","4.47",",,W"," 1815",",,X"," 1801",",,W","0.00",",,0,2400",,,,,,,"62",",,0","49",",,0","  340",",,X","  330",",,X","14.1",",,X","29.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-10","4.03",",,W"," 1908",",,X"," 1911",",,W","0.00",",,0,2400",,,,,,,"64",",,0","50",",,0","  330",",,X","  340",",,X","13.0",",,X","21.9",",,X",,,,,,,,,"    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-11","1.12",",,W"," 1450",",,X"," 1416",",,W","0.00",",,0,2400",,,,,,,"68",",,0","47",",,0","  270",",,X","  270",",,X","10.1",",,X","17.0",",,X",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-12","1.12",",,W"," 1406",",,X"," 1412",",,W","0.00",",,0,2400",,,,,,,"71",",,0","49",",,0","  270",",,X","  260",",,X","10.1",",,X","16.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-13","0.89",",,W"," 1300",",,X"," 1416",",,W","0.00",",,0,2400",,,,,,,"66",",,0","52",",,0","  260",",,X","  270",",,X","6.9",",,X","14.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-14","0.89",",,W"," 1351",",,X"," 1442",",,W","0.00",",,0,2400",,,,,,,"71",",,0","49",",,0","  270",",,X","  270",",,X","8.1",",,X","13.0",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-15","1.12",",,W"," 1518",",,X"," 1507",",,W","0.00",",,0,2400",,,,,,,"82",",,0","49",",,0","  280",",,X","  260",",,X","8.1",",,X","13.0",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-16","2.46",",,W"," 1449",",,X"," 1442",",,W","0.00",",,0,2400",,,,,,,"88",",,0","58",",,0","  280",",,X","  260",",,X","12.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-17","1.57",",,W"," 1339",",,X"," 1341",",,W","0.00",",,0,2400",,,,,,,"87",",,0","61",",,0","  260",",,X","  280",",,X","10.1",",,X","16.1",",,X",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-18","2.01",",,W"," 1309",",,X"," 1603",",,W","0.00",",,0,2400",,,,,,,"78",",,0","59",",,0","  170",",,X","  260",",,X","8.1",",,X","13.0",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-19","0.89",",,W"," 1309",",,X"," 1209",",,W","0.00",",,0,2400",,,,,,,"74",",,0","55",",,0","  270",",,X","  270",",,X","8.1",",,X","15.0",",,X",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-03-20","1.34",",,W"," 1525",",,X"," 1258",",,W","0.00",",,0,2400",,,,,,,"81",",,0","54",",,0","  280",",,X","  270",",,X","6.9",",,X","12.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
